,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs
142,0.590273,0.794111,0.849360,0.538167,0.950077,0.964605,0.668855,0.620330,0.758656,0.371084
143,0.191462,0.443754,0.259001,0.837419,0.227249,0.226228,0.889092,0.048243,0.214081,0.852907
144,0.828835,0.047838,0.222730,0.773903,0.176828,0.288333,0.430658,0.425883,0.024720,0.101824
145,0.554376,0.175140,0.216766,0.934584,0.171164,0.636090,0.267330,0.318926,0.758656,0.479446
146,0.880914,0.376989,0.744402,0.435542,0.661191,0.525313,0.517504,0.241576,0.834323,0.850336
147,0.617367,0.794111,0.256747,0.485387,0.420829,0.355384,0.883942,0.862656,0.331849,0.772491
148,0.735513,0.347867,0.510668,0.485387,0.375896,0.152011,0.707079,0.764040,0.062703,0.839749
149,0.085540,0.241399,0.411009,0.109482,0.263552,0.692194,0.892390,0.910820,0.793041,0.657136
150,0.099846,0.841740,0.899053,0.032840,0.629102,0.590032,0.602080,0.366247,0.793041,0.446472
151,0.612156,0.270497,0.656446,0.511421,0.385616,0.257363,0.010735,0.151869,0.336760,0.393612
152,0.891437,0.765269,0.615400,0.538167,0.872096,0.987770,0.658791,0.902052,0.880708,0.279190
153,0.267432,0.559813,0.533029,0.511421,0.441770,0.000332,0.145452,0.576454,0.078142,0.612026
154,0.793836,0.230882,0.710813,0.460087,0.508051,0.629988,0.470245,0.301493,0.792804,0.459044
155,0.832683,0.250079,0.254509,0.565597,0.152406,0.558602,0.705353,0.735458,0.057211,0.740843
156,0.370130,0.022160,0.025159,0.250516,0.013564,0.023962,0.878520,0.759667,0.963817,0.660847
157,0.881149,0.496081,0.392193,0.869608,0.291231,0.902378,0.666615,0.360276,0.984660,0.736926
158,0.932251,0.315152,0.254509,0.837419,0.279138,0.772914,0.463354,0.319667,0.588290,0.494299
159,0.242350,0.603284,0.294663,0.485387,0.531250,0.049748,0.453800,0.810279,0.519161,0.640601
160,0.556158,0.929509,0.681447,0.485387,0.641858,0.997023,0.171081,0.943344,0.519161,0.103349
161,0.945098,0.685633,0.878626,0.100680,0.754243,0.838253,0.283607,0.649299,0.659950,0.010512
162,0.194407,0.323106,0.347867,0.967265,0.217088,0.265639,0.683863,0.290419,0.622138,0.083076
163,0.698531,0.790027,0.895751,0.162916,0.900350,0.113291,0.521425,0.960321,0.830247,0.774658
164,0.420780,0.478217,0.328491,0.218258,0.307896,0.461706,0.080877,0.285602,0.025411,0.066024
165,0.886029,0.162271,0.350703,0.805500,0.204054,0.525308,0.959775,0.680036,0.577775,0.019017
166,0.291234,0.224746,0.037311,0.001815,0.113390,0.740538,0.710110,0.143730,0.686286,0.807407
167,0.488692,0.849360,0.719218,0.304902,0.886205,0.737874,0.021806,0.976230,0.024607,0.795268
168,0.758075,0.607311,0.615400,0.218258,0.992864,0.525935,0.464188,0.119882,0.171158,0.687322
169,0.555713,0.214807,0.103459,0.032840,0.128379,0.471208,0.317926,0.659635,0.718699,0.828935
170,0.799768,0.818285,0.871509,0.388786,0.950077,0.017494,0.979138,0.323768,0.140401,0.872082
171,0.233638,0.447123,0.097171,0.285964,0.237744,0.471204,0.639378,0.050386,0.758656,0.581051
172,0.140061,0.611350,0.950089,0.837419,0.687322,0.126097,0.218635,0.615427,0.285949,0.579701
173,0.788146,0.192370,0.282382,0.388786,0.179712,0.813795,0.093397,0.002090,0.208078,0.851706
174,0.014692,0.464227,0.499703,0.048852,0.964329,0.535462,0.384453,0.190361,0.013078,0.957209
175,0.849476,0.259001,0.615400,0.036350,0.597699,0.468799,0.874768,0.322482,0.594080,0.201323
176,0.136073,0.121909,0.038678,0.175643,0.061574,0.497883,0.670401,0.199275,0.127006,0.870307
177,0.231324,0.731821,0.790027,0.460087,0.950077,0.790341,0.969068,0.693863,0.792804,0.687309
178,0.723296,0.371028,0.235044,0.485387,0.255989,0.150039,0.962861,0.910932,0.718699,0.163871
179,0.416448,0.536810,0.853129,0.651679,0.629102,0.788461,0.449921,0.409519,0.437211,0.816919
180,0.030152,0.492475,0.345049,0.070962,0.837011,0.821239,0.572388,0.274121,0.519161,0.291144
181,0.444808,0.710813,0.345049,0.711865,0.375896,0.705644,0.806061,0.058216,0.932800,0.368185
182,0.047640,0.336694,0.081073,0.162916,0.502335,0.686784,0.478723,0.186383,0.090572,0.355861
183,0.181949,0.544419,0.798181,0.681519,0.781571,0.735907,0.683766,0.656417,0.254592,0.865327
184,0.512372,0.548245,0.583328,0.485387,0.431226,0.255764,0.290627,0.380472,0.594080,0.599619
185,0.465562,0.051283,0.210929,0.902014,0.171164,0.892188,0.182865,0.890441,0.441376,0.082595
186,0.483788,0.656446,0.806275,0.070962,0.872096,0.818159,0.825334,0.789794,0.336760,0.767782
187,0.522214,0.611350,0.864254,0.711865,0.781571,0.434424,0.190383,0.764656,0.468481,0.376081
188,0.309860,0.911815,0.710813,0.837419,0.816110,0.973795,0.928814,0.572401,0.282128,0.761232
189,0.438662,0.781818,0.963068,0.869608,0.667687,0.022148,0.225686,0.383254,0.722227,0.741313
190,0.410834,0.292175,0.599268,0.805500,0.316460,0.692178,0.589921,0.127065,0.531521,0.939384
191,0.179972,0.168606,0.263553,0.967265,0.152406,0.690148,0.064627,0.291612,0.963817,0.720664
192,0.927062,0.644038,0.826194,0.304902,0.844004,0.162327,0.154565,0.659240,0.129756,0.342994
193,0.631603,0.591273,0.756942,0.837419,0.395489,0.614622,0.521038,0.102567,0.151971,0.904874
194,0.238977,0.595264,0.437067,0.366600,0.474274,0.592671,0.383987,0.319572,0.331849,0.521065
195,0.952003,0.917914,0.837890,0.100680,0.733945,0.759100,0.587771,0.883264,0.932800,0.447405
196,0.698531,0.247887,0.548245,0.934584,0.320801,0.454603,0.245320,0.305042,0.568491,0.493858
197,0.953913,0.165414,0.138837,0.902014,0.109371,0.832849,0.486499,0.768816,0.932800,0.980601
198,0.436909,0.078481,0.073508,0.388786,0.057936,0.339228,0.167412,0.446616,0.622138,0.351295
199,0.384383,0.345049,0.345049,0.593681,0.176828,0.079387,0.937069,0.654286,0.830247,0.713235
200,0.394130,0.021599,0.010816,0.651679,0.015355,0.379860,0.161404,0.330911,0.537562,0.484994
201,0.160199,0.368073,0.871509,0.967265,0.543048,0.582746,0.622857,0.384649,0.594080,0.135686
202,0.553485,0.092179,0.075960,0.150897,0.048077,0.143236,0.461863,0.815334,0.932800,0.694198
203,0.383539,0.325790,0.284806,0.593681,0.213774,0.676617,0.851429,0.788535,0.017383,0.467508
204,0.078854,0.259001,0.648166,0.681519,0.591505,0.732579,0.920316,0.995456,0.724441,0.634547
205,0.127231,0.395286,0.342247,0.622387,0.237744,0.304044,0.731243,0.648581,0.117877,0.698516
206,0.940947,0.263553,0.401523,0.622387,0.263552,0.486254,0.041815,0.268713,0.067559,0.212530
207,0.075818,0.970501,0.911815,0.837419,0.713832,0.780714,0.088659,0.000668,0.112323,0.560580
208,0.908958,0.715015,0.371028,0.485387,0.371093,0.597930,0.875623,0.220690,0.834323,0.018925
209,0.048573,0.008415,0.042040,0.805500,0.026543,0.331584,0.523526,0.218747,0.336760,0.010643
210,0.609544,0.571509,0.287247,0.837419,0.371093,0.045559,0.923310,0.133091,0.724441,0.874913
211,0.165995,0.752768,0.810297,0.934584,0.457860,0.597973,0.337055,0.346531,0.336760,0.450974
212,0.136538,0.392193,0.333943,0.805500,0.385616,0.505239,0.833599,0.565619,0.030863,0.186700
213,0.976252,0.074318,0.058822,0.485387,0.056763,0.381440,0.651246,0.608717,0.214273,0.256649
214,0.672494,0.323106,0.810297,0.460087,0.537133,0.721800,0.010405,0.566326,0.441376,0.590326
215,0.511031,0.652302,0.785929,0.203297,0.886205,0.780080,0.593315,0.488833,0.568491,0.303629
216,0.196486,0.878626,0.994744,0.538167,0.802247,0.727878,0.033709,0.839618,0.007314,0.525217
217,0.686836,0.668920,0.481756,0.538167,0.830030,0.556011,0.636299,0.242027,0.441376,0.971624
218,0.249867,0.228822,0.460772,0.064782,0.447097,0.635360,0.765106,0.134431,0.302402,0.344394
219,0.352803,0.875086,0.368073,1.000000,0.548995,0.490473,0.106030,0.769963,0.169076,0.251596
220,0.408681,0.794111,0.932277,0.267837,0.713832,0.000965,0.128496,0.693410,0.830247,0.441412
221,0.367635,0.934990,0.999373,0.485387,0.809171,0.949626,0.162432,0.577858,0.001670,0.642045
222,0.943740,0.464227,0.404668,0.304902,0.426009,0.959140,0.475415,0.095524,0.052839,0.614458
223,0.443928,0.595264,0.719218,0.040174,0.893273,0.466435,0.586109,0.675875,0.113878,0.707230
224,0.487354,0.926688,0.992919,0.048852,0.740691,0.352856,0.855741,0.586631,0.414308,0.726851
225,0.913570,0.996200,0.958983,0.267837,0.844004,0.001489,0.228856,0.739029,0.963817,0.479924
226,0.456709,0.094149,0.117058,0.902014,0.130640,0.640814,0.491009,0.146641,0.140359,0.430459
227,0.416880,0.433749,0.864254,0.064782,0.622765,0.193596,0.698591,0.974238,0.112323,0.858877
228,0.979691,0.769421,0.765269,0.902014,0.720515,0.090864,0.332387,0.159541,0.793041,0.085819
229,0.814792,0.100273,0.114694,0.324654,0.057936,0.182738,0.878351,0.271923,0.331849,0.484232
230,0.565500,0.965018,0.895751,0.460087,0.907434,0.312973,0.319834,0.831413,0.043463,0.851058
231,0.104741,0.635808,0.940251,0.345221,0.693915,0.811301,0.529449,0.409963,0.437211,0.054564
232,0.816039,0.841740,0.510668,0.651679,0.713832,0.994904,0.161779,0.262796,0.880708,0.022071
233,0.088705,0.533029,0.885595,0.128902,0.496653,0.608628,0.735107,0.300227,0.140359,0.235018
234,0.758075,0.536810,0.395286,0.203297,0.303672,0.727171,0.438380,0.954644,0.963817,0.243213
235,0.872953,0.241399,0.101326,0.250516,0.217088,0.957762,0.795332,0.354625,0.548024,0.437723
236,0.716314,0.736018,0.871509,0.593681,0.879145,0.906336,0.508178,0.631544,0.001824,0.474210
237,0.246776,0.183593,0.275204,0.411770,0.185585,0.116425,0.526787,0.359724,0.963817,0.406121
238,0.187388,0.333943,0.078481,0.162916,0.279138,0.288375,0.558041,0.361854,0.082664,0.691173
239,0.846708,0.644038,0.748587,0.162916,0.543048,0.883748,0.071943,0.295295,0.793041,0.063863
240,0.835025,0.423899,0.579375,0.902014,0.375896,0.497883,0.668162,0.198395,0.932800,0.777396
241,0.619100,0.911815,0.871509,0.773903,0.957202,0.295264,0.377904,0.971213,0.015048,0.241312
242,0.909544,0.417420,0.826194,0.902014,0.431226,0.994482,0.206273,0.306612,0.724441,0.238841
243,0.294236,0.979815,0.990683,0.565597,0.865056,0.969382,0.152960,0.694017,0.182169,0.823164
244,0.925382,0.995753,0.856868,0.485387,0.774712,0.510870,0.610597,0.105060,0.605072,0.452681
245,0.465119,0.555942,0.362215,0.084772,0.303672,0.593318,0.797014,0.863232,0.087552,0.460407
246,0.030575,0.083738,0.113526,0.109482,0.096185,0.394137,0.018168,0.461131,0.594080,0.398534
247,0.522661,0.492475,0.648166,0.267837,0.573102,0.361296,0.620790,0.644143,0.147392,0.094129
248,0.784758,0.239266,0.124396,0.934584,0.130640,0.895767,0.260701,0.009114,0.932800,0.721456
249,0.212370,0.917914,0.752768,0.366600,0.754243,0.213851,0.323802,0.572401,0.312653,0.700855
250,0.363078,0.986998,0.940251,0.162916,0.907434,0.075546,0.006719,0.131630,0.834323,0.555015
251,0.801723,0.256747,0.104539,0.681519,0.176828,0.245490,0.661086,0.574558,0.718699,0.267714
252,0.531606,0.492475,0.268167,0.869608,0.733945,0.099955,0.120507,0.097393,0.254592,0.660816
253,0.251940,0.895751,0.552086,0.622387,0.700531,0.166651,0.032887,0.432962,0.064967,0.230966
254,0.846429,0.064362,0.218740,0.435542,0.123947,0.965832,0.096543,0.035389,0.468481,0.906130
255,0.728290,0.525513,0.514355,1.000000,0.361603,0.603939,0.719342,0.209596,0.946591,0.528805
256,0.276460,0.212861,0.353555,0.233993,0.275184,0.026647,0.197663,0.933435,0.519161,0.402501
257,0.750419,0.664755,0.132111,0.565597,0.366329,0.235089,0.716043,0.278654,0.230588,0.974370
258,0.872953,0.660597,0.336694,0.435542,0.610175,0.124421,0.535515,0.495561,0.605072,0.371713
259,0.750786,0.457334,0.492475,0.593681,0.343082,0.619978,0.731636,0.913022,0.331849,0.293064
260,0.337415,0.383019,0.639919,0.622387,0.356915,0.425385,0.097334,0.304725,0.758656,0.522921
261,0.583219,0.309932,0.175140,0.128902,0.213774,0.448229,0.352879,0.343469,0.127006,0.360519
262,0.588952,0.785929,0.401523,0.651679,0.554975,0.084579,0.425432,0.355479,0.519161,0.404630
263,0.683987,0.447123,0.785929,0.773903,0.579206,0.689421,0.839912,0.529971,0.932800,0.117201
264,0.634175,0.830116,0.867899,0.324654,0.964329,0.600644,0.629281,0.906209,0.136970,0.283127
